0.6859218356105952,0.010241010219655332,360.769391863638
0.9047184861115687,0.01349225785728973,44.988420613517306
0.9745108148291126,0.01451390083452635,12.857942892597112
0.9967735120445004,0.01482434176641233,9.588686657254796
1.0038751330923825,0.014907923092679708,9.256037707123536
1.0061406503530463,0.01491914112186004,9.22218631007778
1.0068635396567083,0.014907277327927734,9.218737336719618
1.0070943590721666,0.01488805159245471,9.218381787234835
1.0071682172544754,0.0148664782678037,9.218340991710383
1.0071920076862775,0.014844156839895047,9.218332222600793
1.007199827417767,0.014821597515213064,9.218326712593804
1.0072025527793163,0.014798963040184757,9.218321534637285
1.007203653119791,0.0147763053278849,9.218316390905857
1.0072042350975157,0.014753640937592306,9.218311251095983
1.0072046517160935,0.014730975151376696,9.21830611212428
1.0072050155771664,0.014708309654086003,9.218300973676932
1.007205362598582,0.014685644983120734,9.218295835721987
1.0072057042374725,0.014662981309866823,9.218290698256178
1.007206044148452,0.014640318688958305,9.21828556127909
1.007206383497276,0.014617657137787515,9.218280424790663
1.0072067226557992,0.014594996661867374,9.218275288790831
1.0072070617426372,0.014572337262921488,9.218270153279558
1.0072074007956264,0.014549678941464745,9.218265018256798
1.0072077398268364,0.014527021697626473,9.218259883722501
1.0072080788401179,0.014504365531413023,9.218254749676621
1.0072084178366998,0.014481710442791514,9.218249616119136
1.0072087568169745,0.01445905643171655,9.218244483049949
1.0072090957810675,0.014436403498138748,9.21823935046906
1.00720943472902,0.014413751642007458,9.218234218376379
1.0072097736608447,0.014391100863271621,9.218229086771897
1.007210112576547,0.014368451161880054,9.218223955655548
1.0072104514761286,0.014345802537781536,9.218218825027309
1.007210790359591,0.014323154990924833,9.218213694887114
1.0072111292269348,0.014300508521258708,9.218208565234908
1.007211468078161,0.01427786312873193,9.218203436070668
1.0072118069132705,0.014255218813293264,9.21819830739433
1.0072121457322638,0.01423257557489148,9.218193179205853
1.0072124845351416,0.014209933413475354,9.218188051505193
1.007212823321905,0.014187292328993661,9.218182924292298
1.0072131620925546,0.014164652321395174,9.218177797567122
1.007213500847091,0.014142013390628677,9.218172671329624
1.0072138395855155,0.014119375536642952,9.21816754557976
1.0072141783078283,0.014096738759386782,9.218162420317476
1.0072145170140303,0.014074103058808955,9.218157295542726
1.0072148557041225,0.014051468434858261,9.218152171255467
1.0072151943781054,0.014028834887483493,9.218147047455655
1.0072155330359798,0.014006202416633445,9.218141924143245
1.0072158716777466,0.013983571022256914,9.218136801318176
1.0072162103034066,0.013960940704302698,9.218131678980415
1.0072165489129603,0.013938311462719599,9.218126557129915
1.0072168875064087,0.013915683297456424,9.218121435766632
1.0072172260837526,0.01389305620846198,9.218116314890496
1.0072175646449926,0.013870430195685072,9.218111194501505
1.0072179031901296,0.013847805259074515,9.218106074599564
1.0072182417191642,0.01382518139857912,9.218100955184667
1.0072185802320974,0.013802558614147706,9.218095836256735
1.0072189187289298,0.01377993690572909,9.218090717815752
1.0072192572096619,0.013757316273272095,9.218085599861643
1.007219595674295,0.013734696716725545,9.218080482394381
1.0072199341228296,0.013712078236038264,9.218075365413911
1.0072202725552666,0.013689460831159083,9.218070248920188
1.0072206109716064,0.013666844502036831,9.218065132913178
1.0072209493718502,0.013644229248620346,9.218060017392812
1.0072212877559985,0.013621615070858458,9.21805490235906
1.0072216261240523,0.01359900196870001,9.218049787811884
1.007221964476012,0.013576389942093842,9.218044673751216
1.007222302811879,0.013553778990988797,9.218039560177008
1.0072226411316534,0.013531169115333717,9.218034447089245
1.007222979435336,0.013508560315077453,9.218029334487852
1.0072233177229282,0.013485952590168859,9.21802422237278
